"","waldStat","df","pvalue","padj"
"ROBO3",126.859625851204,7,0,0
"HOXB5",926.950486801781,7,0,0
"HOXB-AS3",379.602136644135,7,0,0
"LAMP5",185.087656065866,7,0,0
"RPS4Y1",106.189725214759,2,0,0
"HOXB9",170.10040006483,7,0,0
"IFITM3",274.826208800679,7,0,0
"HOXB8",747.115887485911,7,0,0
"HOXA5",517.788896046729,7,0,0
"HOXB6",745.185564582688,7,0,0
"FRZB",150.281023590062,7,0,0
"HOXB3",175.268146917275,7,0,0
"HOXB4",160.533810091915,7,0,0
"SBF2",93.8103131392021,7,0,0
"LINC02381",189.847057266217,7,0,0
"HSPA1B",106.835451309696,7,0,0
"HOXA4",197.915794324933,7,0,0
"HOXC5",322.161220423917,7,0,0
"THRA1/BTR",89.9648044269052,5,0,0
"APLP2",847.331269315743,7,0,0
"NECTIN3-AS1",107.674080855051,7,0,0
"HOXB7",249.375184555729,7,0,0
"HOXC6",115.7040231203,7,0,0
"AC103702.1",189.327834294545,7,0,0
"HOXA-AS3",131.593552045989,7,0,0
"PTGR1",338.66956029684,3,0,0
"AC023794.3",341.51467468127,7,0,0
"MXRA8",177.46189510534,7,0,0
"ARMCX1",231.812103034605,7,0,0
"TSHZ1",162.602974196678,5,0,0
"SPA17",383.249677063173,7,0,0
"ZNF667-AS1",156.892149921614,2,0,0
"BCO2",258.881533564533,7,0,0
"HLTF",502.663690314919,7,0,0
"ZBTB44",373.278955125628,7,0,0
"HOXD3",120.269161926377,7,0,0
"ZADH2",161.832280858912,5,0,0
"DPP7",156.499142674276,7,0,0
"AC104041.1",117.482300828443,7,0,0
"BEX1",89.5338237004148,7,1.11022302462516e-16,7.6763991988368e-15
"SKAP2",89.6157008561215,7,1.11022302462516e-16,7.6763991988368e-15
"FIRRE",87.7550348778905,6,1.11022302462516e-16,7.6763991988368e-15
"WNT5A",86.4660187623028,7,6.66133814775094e-16,4.49872697234157e-14
"MT1X",84.2023854040907,7,1.88737914186277e-15,1.24567023362943e-13
"VGLL3",81.7535782725817,7,5.99520433297585e-15,3.86890519621375e-13
"CCDC160",79.7323616074224,7,1.56541446472147e-14,9.88252957728511e-13
"CAV1",60.1636188714446,2,8.62643290133747e-14,5.3197446447939e-12
"IRX4",60.1240809256438,2,8.79296635503124e-14,5.3197446447939e-12
"NTM",73.2685465672088,7,3.22075699443758e-13,1.90879149221362e-11
"MT1F",73.1520792899645,7,3.40061312442685e-13,1.97507610266712e-11
"TTR",54.3875308322675,2,1.54842805244471e-12,8.81693149862632e-11
"PGRMC1",69.8416456881413,7,1.59039448277554e-12,8.88174149611569e-11
"CEP85L",67.4274637846579,7,4.8828718846039e-12,2.63151229202347e-10
"DNAJC15",52.0863148604562,2,4.89330798103538e-12,2.63151229202347e-10
"HOPX",63.7208742209543,7,2.71679345686948e-11,1.43446694522709e-09
"DHRS3",63.5851184458908,7,2.89263057950961e-11,1.5000355719457e-09
"ARX",63.2656422283982,7,3.35252936523034e-11,1.70802548712788e-09
"GFRA1",61.991395290545,7,6.03525007747407e-11,3.02178728016978e-09
"DAPL1",58.4919051958482,7,3.01741409636236e-10,1.48518144675191e-08
"AC004158.1",57.4840096542513,7,4.7894421761896e-10,2.31809001327576e-08
"DLL3",56.2226293552369,7,8.53021653313135e-10,4.06094242823171e-08
"RBFOX1",56.0431800044546,7,9.25937104767627e-10,4.33696992297611e-08
"DLX1",41.3485351984917,2,1.05021846774633e-09,4.84100703227834e-08
"DCX",53.6603297433963,7,2.74525757681943e-09,1.24566062548181e-07
"TMSB15A",53.1734385533873,7,3.42601924607777e-09,1.53063998317075e-07
"POU6F2",46.474975649803,5,7.26868831790739e-09,3.19822285987925e-07
"RBP1",51.4774440352228,7,7.40017180866914e-09,3.20747745259331e-07
"HOXC4",51.2846380107163,7,8.0759928744456e-09,3.44892401579265e-07
"ELMOD1",50.5944322243073,7,1.1039448244432e-08,4.64616778287401e-07
"MCM3",50.4224010645238,7,1.19331243775278e-08,4.95054188462011e-07
"ZIC3",41.9133538196443,4,1.73859117102992e-08,7.11108276150831e-07
"FSIP2",49.1562857589309,7,2.11447811482302e-08,8.47455320092299e-07
"HOXA3",49.1397532572663,7,2.13031123852403e-08,8.47455320092299e-07
"JAG1",48.9993714601127,7,2.26959853133479e-08,8.90664072296789e-07
"EPHA7",48.0602766121325,7,3.46529447359245e-08,1.341762020175e-06
"GLRA2",39.7863389005481,4,4.79193156266433e-08,1.83102227078648e-06
"ARHGAP20",46.9688174699134,7,5.66073685703827e-08,2.13490647179729e-06
"CYP26A1",46.8827652109416,7,5.88375005383668e-08,2.19056540465919e-06
"HOXB2",46.4689335518184,7,7.08450696995655e-08,2.57602438533677e-06
"TMEM14A",46.4651671341755,7,7.09648591001866e-08,2.57602438533677e-06
"SHOX2",40.7692919644886,5,1.04454815463839e-07,3.74489856922209e-06
"FST",42.8400050776084,6,1.25462967237588e-07,4.44322508363362e-06
"IFITM2",43.0150604039387,7,3.31336532877202e-07,1.15927866442819e-05
"RPL39",42.8012618020036,7,3.64369295180467e-07,1.25967670619533e-05
"MAML2",42.6870511869299,7,3.83335795106632e-07,1.3096554693996e-05
"ARMCX3",42.4356747965566,7,4.28606849567359e-07,1.44729568737629e-05
"CMBL",41.5646458701372,7,6.30629786724235e-07,2.10499873637607e-05
"HES6",40.8963976313362,7,8.47528279890319e-07,2.79684332363805e-05
"ELMO1",40.6123791301853,7,9.60814486972161e-07,3.13506210131141e-05
"CALB1",33.3566177109096,4,1.00958575399712e-06,3.25759669956405e-05
"SIX3",40.2748866283671,7,1.11511862110891e-06,3.55857634692339e-05
"PCSK1N",40.054152534462,7,1.22910360234041e-06,3.86932400416121e-05
"IDS",40.0356953895391,7,1.23914301786154e-06,3.86932400416121e-05
"TCEAL5",27.1804433709011,2,1.25268453010641e-06,3.86999561215852e-05
"NKX6-1",39.7305841797627,7,1.41740389048017e-06,4.3327798925836e-05
"HOXA6",29.5729261727686,3,1.69711796105254e-06,5.13378183218394e-05
"GAD1",32.0884030970865,4,1.83513687534997e-06,5.49405926393436e-05
"NR3C1",38.787187083702,7,2.14591294478428e-06,6.35890937923831e-05
"HBD",38.5095579083351,7,2.42387557969348e-06,7.11003503376754e-05
"INHBB",37.8222064820959,7,3.2753428678145e-06,9.51159568813331e-05
"Z99496.2",34.9070798996443,6,4.49186568107773e-06,0.000129152256810393
"CRABP1",36.933087292056,7,4.82955473091184e-06,0.000137500264103608
"TAC1",36.8160260256979,7,5.08241853514058e-06,0.000141968015812156
"HLA-B",36.8151975914129,7,5.08425400980173e-06,0.000141968015812156
"PRTG",35.3490278196957,7,9.61550800226973e-06,0.000265937478462774
"LHX9",22.7937044949903,2,1.12307809806422e-05,0.00030768101856401
"LGALS1",34.7685564031957,7,1.23620077386866e-05,0.000335507200683605
"WNT4",34.3899504720864,7,1.45584750045336e-05,0.000391461216788569
"C1orf61",33.6422370073862,7,2.00930084368611e-05,0.000535321986244447
"SPP1",33.377509142596,7,2.25151558745917e-05,0.000594400115089222
"CLDN11",33.3303883848764,7,2.29756121912228e-05,0.000601091691921721
"NCAM1",33.2721155782488,7,2.3557946147168e-05,0.000610823889387284
"RAMP1",26.3925846245865,4,2.6369263523951e-05,0.000677666736934103
"COL14A1",20.8051372178401,2,3.03544141682099e-05,0.000773238760916506
"DLX5",32.4598320421532,7,3.33698453014453e-05,0.000842661137003453
"ID2",31.9887299753837,7,4.08117635333216e-05,0.00102170139052384
"SPARC",31.2383129163547,7,5.61859823071664e-05,0.00139456489418813
"NTRK2",31.0335033400959,7,6.12954788348219e-05,0.00150849212318918
"KCNMB2",19.3270403309776,2,6.35603845904331e-05,0.00155108703235813
"TIMP1",30.7064652969329,7,7.04210667107352e-05,0.00170418981439979
"DLX2",30.5853517215179,7,7.41305564034844e-05,0.00177913335368363
"PLP1",30.5193050508508,7,7.6234045661594e-05,0.00181462023443663
"RNF212",18.9277122907613,2,7.76067503601707e-05,0.00183227644752793
"LIX1",30.4381745414764,7,7.88987053912393e-05,0.00184775677787225
"SKAP1",26.1279647342158,5,8.42783345036402e-05,0.00195795426718857
"LINC00581",18.5308359185441,2,9.46411715578854e-05,0.0021812536682865
"HOXD8",29.7263796365296,7,0.000106583023376183,0.00243714251877509
"RARB",29.2034698755117,7,0.000132832458573651,0.0030136364038897
"CAV2",28.6085511600595,7,0.000170499522311962,0.00383822180460417
"NPTX1",16.9028937009752,2,0.000213591157226523,0.00477129785066017
"TBX2-AS1",23.8982202407163,5,0.000227111481034048,0.00503459344215935
"HOXA-AS2",27.659066685589,7,0.000253465730025382,0.0055762460605584
"PAK3",16.305644159764,2,0.000287921674061442,0.00628136290332399
"SIAH3",23.3459511627299,5,0.000289842503114812,0.00628136290332399
"BEX4",27.133462217171,7,0.000315338734374615,0.0067832865527695
"OPCML",26.8906239984338,7,0.000348728416149857,0.00744637735661166
"TAC3",26.7961727461091,7,0.000362633593671835,0.0076867734016278
"PBX3",26.5970986945727,7,0.000393750033801155,0.00828587027651125
"SOX3",26.4699844637069,7,0.000414975771476422,0.00866970964293188
"DCDC1",24.4783922244634,6,0.000426332685472763,0.00878063913909862
"PGAM2",20.3499711190273,4,0.000425899263111318,0.00878063913909862
"MIR9-3HG",26.0415140749296,7,0.000495137906248999,0.0101259188714584
"KC877982.1",17.6536368559448,3,0.000518448148880135,0.0105284854849504
"CTNNA2",25.6392701586343,7,0.000584129957259094,0.0117799541380584
"NTS",14.3381834217702,2,0.000770021816127286,0.0154216783036803
"HOTAIRM1",24.8831231348,7,0.000795860108781521,0.0158299846294626
"VXN",24.6481298419818,7,0.000875818702904985,0.0173018878451434
"FABP7",24.6204910225518,7,0.00088572517260288,0.0173793641975592
"THBS1",22.713128241328,6,0.000898477987939295,0.0175112756844007
"NEUROD1",24.4176203754166,7,0.00096187465684483,0.0186218933565159
"AUXG01000058.1",24.2240214001934,7,0.00104050178540616,0.0200107098332416
"HHIP",24.0434938617054,7,0.00111946701234211,0.0213877118673783
"CDH9",13.5183914145738,2,0.00116016190852752,0.0220203279893067
"RPL10",23.7868926854158,7,0.00124187931396547,0.0234182956347774
"CNTNAP2",23.3778916554399,7,0.00146452670704711,0.0273523939248718
"SEMA3A",23.3697320030945,7,0.00146934347530303,0.0273523939248718
"RPL36A",23.2911031499142,7,0.00151655934272243,0.0280515180335411
"HIST1H1A",16.8293058699385,4,0.00208625301768095,0.0383448022996549
"NEUROG1",22.189169535098,7,0.002356463848878,0.0430388114285642
"TNNI1",21.6436799717842,7,0.00292559447993601,0.0530995398108386
"FEZF1-AS1",13.5900724108326,3,0.00351972137161449,0.0634861544296179
"MT2A",21.1490095090156,7,0.00355575643579764,0.0637402264787429
"BEX2",21.050924179451,7,0.00369550651808348,0.0658389627516223
"DIRAS2",20.9602032230511,7,0.00382949974594737,0.0678101662331169
"PLIN2",20.9226949638589,7,0.00388626573277739,0.0683982768968821
"C1QL4",20.6959014084727,7,0.00424729327229656,0.0743020461611398
"GRIA1",18.9159488170805,6,0.00430796252187726,0.074912114751686
"USP18",20.5972006534826,7,0.00441437953721768,0.0757192584811286
"THY1",20.5866566068812,7,0.0044326012196253,0.0757192584811286
"LBX1-AS1",15.1419509835522,4,0.00441567777936336,0.0757192584811286
"PRDM12",20.4190288638242,7,0.00473226470365062,0.0803165319291095
"MAPK10",20.4056337786337,7,0.00475703976990594,0.0803165319291095
"PRSS23",20.384743857231,7,0.00479592789772521,0.0805038011570237
"SCN3A",18.6365493208362,6,0.00482357486271423,0.0805038011570237
"ALDH1A1",20.1623662274921,7,0.0052294484190667,0.0867789611941125
"NEUROD4",20.0200517891825,7,0.00552653413336812,0.09067262781526
"MUSTN1",20.02657682597,7,0.00551256291342106,0.09067262781526
